mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0015844345092773438,4.231257452413568e-05,0.00097198486328125,9.606109120860604e-06,10.0,1.0,linear,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.9523809523809523,0.9047619047619048,0.9047619047619048,1.0,1.0,0.9523809523809523,0.04259177099999599,6
0.0016921043395996093,0.00010716626319345833,0.0011692523956298828,0.00018557356625570494,10.0,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.9523809523809523,0.9523809523809523,0.9047619047619048,1.0,0.9523809523809523,0.9523809523809523,0.030116930096841705,6
0.0018376827239990235,0.0002561286930598823,0.001082468032836914,9.198612709618972e-05,10.0,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.9523809523809523,0.9047619047619048,0.9047619047619048,1.0,1.0,0.9523809523809523,0.04259177099999599,6
0.0016599655151367187,2.9581818228962016e-05,0.0010468006134033204,2.4717280816646213e-05,10.0,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,0.9047619047619048,0.9047619047619048,1.0,0.9523809523809523,0.9523809523809523,0.04259177099999599,6
0.001606130599975586,3.113261005332499e-05,0.0009841442108154297,1.2368755142908452e-05,10.0,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.9523809523809523,0.9047619047619048,0.9047619047619048,1.0,1.0,0.9523809523809523,0.04259177099999599,6
0.0018795013427734375,5.561266551509111e-05,0.0010925769805908204,3.645687486409656e-05,10.0,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,0.9047619047619048,0.9047619047619048,1.0,0.8571428571428571,0.9333333333333332,0.05714285714285716,26
0.0017685890197753906,0.00013283822291204744,0.0010500907897949218,6.287574840391169e-05,10.0,0.001,linear,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",0.9523809523809523,0.9047619047619048,0.9047619047619048,1.0,1.0,0.9523809523809523,0.04259177099999599,6
0.0018515586853027344,7.498558065970688e-05,0.001056671142578125,2.8325090488275385e-05,100.0,1.0,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9523809523809523,0.8571428571428571,0.9047619047619048,0.9523809523809523,0.9047619047619048,0.9142857142857143,0.03563483225498991,28
0.0016032218933105468,2.607675892823064e-05,0.0009831905364990235,8.435301891053161e-06,100.0,1.0,linear,"{'C': 100, 'gamma': 1, 'kernel': 'linear'}",0.9523809523809523,0.9047619047619048,0.9047619047619048,1.0,1.0,0.9523809523809523,0.04259177099999599,6
0.0016721725463867188,4.6987602283388055e-05,0.0010230541229248047,2.681037859073776e-05,100.0,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.9523809523809523,0.9047619047619048,0.9047619047619048,1.0,1.0,0.9523809523809523,0.04259177099999599,6
